cell,condition,outer_role,cv_fold,n_rows,holdout_fraction,achieved_cell_holdout_fraction,achieved_row_holdout_fraction,n_splits,random_state,cv_stratification_status,split_id
S2000FNNDT,DOD80_2C2C_25degC,development,1,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FNPEL,DOD100_0.5C0.5C_50degC,development,4,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FNX7G,DOD100_1C1C_25degC,holdout,,8,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FOCH9,DOD100_2C2C_25degC,holdout,,9,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FOMBK,DOD100_0.5C0.5C_50degC,development,1,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FONCM,DOD100_2C2C_25degC,development,4,9,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FOOS5,DOD100_1C1C_50degC,development,2,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FPG1Z,DOD20_2C2C_25degC,development,2,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FPKDB,DOD80_2C2C_25degC,development,0,13,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FPNAD,DOD80_2C2C_50degC,development,2,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FPXAW,DOD80_2C2C_50degC,holdout,,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FQ0EW,DOD100_1C1C_25degC,development,3,8,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FQD0M,DOD80_2C2C_50degC,development,3,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FQHB2,DOD100_0.5C0.5C_-10degC,development,0,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FQJRF,DOD100_0.5C0.5C_50degC,holdout,,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FQM84,DOD100_2C2C_50degC,development,3,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FQW1T,DOD100_1C1C_-10degC,holdout,,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
S2000FR213,DOD100_2C2C_-10degC,development,3,1,0.25,0.2571428571428571,0.2584745762711864,5,42,sparse_conditions_unavoidable,b139de63bfa99a4894fe87f872e0d8665cd4ea41e95e83303f542870e0000592
